Ballet	Baleto
Band	
Alcohol	Alkoholo
Lava	Lafo
	
Tango	Tango
Ripe	Matura
Temple	Templo
Sand	Sablo
Fries	
	
Myth	Mito
Facebook	
Acorn	
Bone	Osto
Bridge	Ponto
	
Number	Numero
Decathlon	
Rum	Rumo
Metal	Metalo
Tuna	Tinuso
	
Vengeance	Venĝo
Boss	Ĉefo
Emergency	
Cross	Kruco
Waltz	Valso
	
Nintendo	
Bet	Veto
Salt	Salo
Manual	
Frost	Frosto
	
Iron	Fero
Batman	
Song	Kanto
Nile	
Cinema	Kinejo
	
Sail	Velo
Cheddar	
Shrek	
Pole	Poluso
Western	
	
Godzilla	
Uniform	
Rain	Pluvo
Fire	Fajro
Helmet	Kasko
	
Cavity	
Sleeve	Maniko
Gremlins	
Poker	Pokero
Pie	Torto
	
Branch	Branĉo
Cinderella	
Crepe	Patkuko
Island	Islando
Taxi	Taksio
	
Canvas	
Vampire	Vampiro
Monopoly	Monopolio
Cartoon	
Hotel	Hotelo
	
Mafia	
Large	Granda
Missile	
Microsoft	
Ski	Skio
	
Lonely	
Potato	Terpomo
Wave	Ondo
School	Lernejo
Lego	
	
Google	
Bow	
Mars	Marso
Golf	Golfo
Ticket	Bileto
	
Crane	Gruo
Operation	Operacio
Rap	Repo
Muse	Muzo
Defense	Defendi
